"","Time","TS..Surface.temperature.","T2M..2m_Temperature.","H..Averaged_Sensible_Heat_Flux.","LE..Averaged_Total_Latent_Heat_Flux.","GFLUX..Averaged_Ground_Heat_Flux.","Air.Temperature.0m..Height...0.","Relative.Humidity.2m..Height...2.","Rainfall.Amount..Height...0.","Snowfall.Amount..Height...0.","Wind.Speed..Height...10.","Snowfall.Amount.Acc..Height...0.","Precipitation.Amount.Acc..Height...0.","Surface Downwelling Shortwave Flux In Air (Height = 0)"
"1","2017-04-29",268.24,266.02,21.9,14.7,16.7,268.233062744141,0.982685744762421,3.57627868652344e-07,1.55717134475708e-05,4.67716264724731,0.442560195922852,0.44622802734375,79.0997924804688
"2","2017-04-29 06:00:00",268.37,267.3,5.7,5.8,-5.5,268.369354248047,0.95630156993866,0,0,2.60488128662109,0.266544342041016,0.268142700195312,75.0853271484375
"3","2017-04-29 12:00:00",262.78,267.6,-9.8,-1.2,-10,262.778930664062,0.765674531459808,0,0,0.754804074764252,0.001190185546875,0.001190185546875,0
"4","2017-04-29 18:00:00",261.81,263.91,-8.6,-0.8,5,261.805999755859,0.88020658493042,0,0,1.89700019359589,0,0,0
"5","2017-04-30",266.27,269.13,-16.3,9.5,22,266.260772705078,0.608035326004028,0,0,2.70786714553833,0.001861572265625,0.003021240234375,99.5484008789062
"6","2017-04-30 06:00:00",268.14,268.63,-5.3,9.3,-3.1,268.136413574219,0.842363655567169,0,0,4.41901254653931,0.00054168701171875,0.00054168701171875,85.6843872070312
"7","2017-04-30 12:00:00",261.6,268.05,-49.4,-5.7,-10.4,261.596588134766,0.697344958782196,0,0,3.71225166320801,0,0,0
"8","2017-04-30 18:00:00",261.99,268.35,-61.7,-2.3,-1,261.985107421875,0.638156592845917,0,0,4.6928858757019,0.00055694580078125,0.00110626220703125,0
"9","2017-05-01",267.87,270.37,-5.1,4.8,29.2,267.862609863281,0.580463171005249,0,0,0.665890336036682,0,0,111.254608154297
"10","2017-05-01 06:00:00",270.1,271.16,-3,6.6,-4.3,270.090759277344,0.677050292491913,0,0,1.28709125518799,0,0,87.92724609375
"11","2017-05-01 12:00:00",259.79,273.8,-35.2,-3.3,-9.4,259.78662109375,0.446779131889343,0,0,1.25364768505096,0,0,0
"12","2017-05-01 18:00:00",264.89,273.07,-78.1,4.4,13.4,264.881988525391,0.49893257021904,0,0,4.69245052337646,0,0,0
"13","2017-05-02",270.67,271.34,-4.4,22.9,10,270.662109375,0.564729273319244,0,0,2.80128955841064,0,0,117.969482421875
"14","2017-05-02 06:00:00",271.97,277.07,-50,31.6,26.2,271.968719482422,0.482972681522369,0,0,4.82668924331665,0,0,93.0521392822266
"15","2017-05-02 12:00:00",265.65,271.93,-44.9,12.5,-6.8,265.641326904297,0.45840460062027,0,0,3.47044229507446,0,0,0
"16","2017-05-02 18:00:00",266.11,274.3,-53.6,13.5,8.5,266.101379394531,0.380632936954498,0,0,3.21997404098511,0,0,0
"17","2017-05-03",272.89,273.93,-8.2,35.6,28,272.883850097656,0.524293899536133,0,0,3.49222588539124,0,0,105.61693572998
"18","2017-05-03 06:00:00",272.62,274.17,-13.6,13.9,4.2,272.618896484375,0.758668541908264,0,0,4.06501245498657,0,0,103.686981201172
"19","2017-05-03 12:00:00",264.43,270.25,-56.9,-6,-11.2,264.422241210938,0.705202758312225,0,0,4.70512294769287,0,0,0
"20","2017-05-03 18:00:00",259.56,271.15,-28.6,-0.1,-27,259.555297851562,0.41151624917984,0,0,1.20625519752502,0,0,0
"21","2017-05-04",271.42,275.46,-57.4,61.2,39.5,271.414367675781,0.428530395030975,0,0,6.87682437896729,0,0,125.501487731934
"22","2017-05-04 06:00:00",272.74,275.57,-35,39.5,7,272.734405517578,0.578478395938873,0,0,5.91998720169067,0,0,112.285514831543
"23","2017-05-04 12:00:00",265.64,272.68,-72.1,17.7,-2.3,265.632843017578,0.435061097145081,0,0,4.98664712905884,0,0,0
"24","2017-05-04 18:00:00",268.06,273.7,-54.1,9.5,0,268.058288574219,0.575487613677979,0,0,4.67641639709473,0,0,0
